jpさん,ジェーピーサン
登録中,トウロクチュウ
重複保持,ジュウフクホジ
一定時間,イッテイジカン
時間経過,ジカンケイカ
経過後,ケイカゴ
画面更新,ガメンコウシン
枠復活,ワクフッカツ
機械学習数理,キカイガクシュウスウリ
過程マルコフ,カテイマルコフ
マルコフ確率,マルコフカクリツ
確率場,カクリツジョウ
徹底入門,テッテイニュウモン
深層学習,シンソウガクシュウ
学習フレームワーク,ガクシュウフレームワーク
フレームワーク徹底,フレームワークテッテイ
徹底比較,テッテイヒカク
トピック発表,トピックハッピョウ
発表時間,ハッピョウジカン
同等以上,ドウトウイジョウ
議論時間,ギロンジカン
回データマイニング,カイデータマイニング
六本木FreakOut,ロッポンギフリークアウト
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
都合上,ツゴウジョウ
登録ページ,トウロクページ
メールアドレス等,メールアドレストウ
情報入力,ジョウホウニュウリョク
機械学習方法論,キカイガクシュウホウホウロン
方法論祭り,ホウホウロンマツリ
懇親会,コンシンカイ
会LT,カイエルティ
深層学習,シンソウガクシュウ
参加登録,サンカトウロク
登録時,トウロクジ
回データマイニング,カイデータマイニング
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
深層学習,シンソウガクシュウ
学習フレームワーク,ガクシュウフレームワーク
フレームワーク徹底,フレームワークテッテイ
徹底比較,テッテイヒカク
マルコフ確率,マルコフカクリツ
確率場,カクリツジョウ
画像領域,ガゾウリョウイキ
領域分割,リョウイキブンカツ
統計分析,トウケイブンセキ
回データマイニング,カイデータマイニング
機械学習数理,キカイガクシュウスウリ
過程マルコフ,カテイマルコフ
マルコフ確率,マルコフカクリツ
確率場,カクリツジョウ
徹底入門,テッテイニュウモン
深層学習,シンソウガクシュウ
学習フレームワーク,ガクシュウフレームワーク
フレームワーク徹底,フレームワークテッテイ
徹底比較,テッテイヒカク
豪華内容,ゴウカナイヨウ
自然言語処理活用,シゼンゲンゴショリカツヨウ
回NLP,カイエヌエルピー
NLP若手,エヌエルピーワカテ
会シンポジウム,カイシンポジウム
自然言語処理活用,シゼンゲンゴショリカツヨウ
興味算出,キョウミサンシュツ
Vector活用,ベクターカツヨウ
幼稚園運動会,ヨウチエンウンドウカイ
ダンス演目,ダンスエンモク
指導担当,シドウタントウ
子供たち,コドモタチ
宇宙ダンス,ウチュウダンス
andcreate,アンドクリエイト
Networksfor,ネットワークスフォー
3日間,ミッカカン
人相部屋,ニンアイベヤ
交流レ,コウリュウレ
レクリエーション,レクリエーション
人BBQ,ニンバーベキュー
交流部屋,コウリュウヘヤ
開催設計,カイサイセッケイ
泊3日,ハクミッカ
回NLP,カイエヌエルピー
NLP若手,エヌエルピーワカテ
会シンポジウム,カイシンポジウム
ona,オンアール
aDeep,アールディープ
Mathematical,マセマティカリットル
lunderstanding,リットルアンダースタンディング
detailed,ディテールイーディー
andits,アンドアイティエス
itsapplication,アイティエスアプリケーション
applicationto,アプリケーショントゥ
andfine tuning,アンドファインチューニング
fine tuningin,ファインチューニングイン
indeep,インディープ
開催内容,カイサイナイヨウ
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
SmartNewsさん,スマートニュースサン
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
SmartNewsさん,スマートニュースサン
発表感謝,ハッピョウカンシャ
会場参加者,カイジョウサンカシャ
参加者ID,サンカシャアイディー
バックグラウンド一覧,バックグラウンドイチラン
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
進行方針,シンコウホウシン
会場準備,カイジョウジュンビ
FreakOutさん,フリークアウトサン
会場提供,カイジョウテイキョウ
運営ボランティア,ウンエイボランティア
時開始,ジカイシ
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
六本木FreakOut,ロッポンギフリークアウト
UST配信,ユーエスティーハイシン
時開始,ジカイシ
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
六本木FreakOut,ロッポンギフリークアウト
UST配信,ユーエスティーハイシン
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
キャンセル作業,キャンセルサギョウ
参加希望,サンカキボウ
回目,カイメ
目募集,メボシュウ
登録中,トウロクチュウ
重複保持,ジュウフクホジ
一定時間,イッテイジカン
時間経過,ジカンケイカ
経過後,ケイカゴ
画面更新,ガメンコウシン
枠復活,ワクフッカツ
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
六本木FreakOut,ロッポンギフリークアウト
回目,カイメ
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
都合上,ツゴウジョウ
登録ページ,トウロクページ
メールアドレス等,メールアドレストウ
情報入力,ジョウホウニュウリョク
回目,カイメ
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
六本木FreakOut,ロッポンギフリークアウト
回データマイニング,カイデータマイニング
AWS上,アマゾンウェブサービスジョウ
分析基盤,ブンセキキバン
基盤アーキテクチャ,キバンアーキテクチャ
アーキテクチャ最前線,アーキテクチャサイゼンセン
最前線祭り,サイゼンセンマツリ
